,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall,Snowfall,Country,Date
0,Mataura,-46.19,168.86,55.6,66,48,6.38,scattered clouds,0.0,0.0,NZ,2020-05-06 03:18:42
1,Lichinga,-13.31,35.24,57.2,93,75,11.41,broken clouds,0.0,0.0,MZ,2020-05-06 03:18:42
2,Barrow,71.29,-156.79,17.6,78,1,11.41,clear sky,0.0,0.0,US,2020-05-06 03:18:43
3,Busselton,-33.65,115.33,55.0,94,67,26.75,light rain,0.14,0.0,AU,2020-05-06 03:18:43
4,Jamestown,42.1,-79.24,41.0,52,1,6.93,clear sky,0.0,0.0,US,2020-05-06 03:16:34
5,Punta Arenas,-53.15,-70.92,37.0,65,100,4.7,overcast clouds,0.0,0.0,CL,2020-05-06 03:18:43
6,Comodoro Rivadavia,-45.87,-67.5,48.2,70,0,10.29,clear sky,0.0,0.0,AR,2020-05-06 03:15:02
7,Victoria,22.29,114.16,89.01,79,79,5.01,broken clouds,0.0,0.0,HK,2020-05-06 03:18:44
8,Kaitangata,-46.28,169.85,55.99,63,60,7.0,broken clouds,0.0,0.0,NZ,2020-05-06 03:18:44
9,Aksu,41.12,80.26,70.25,31,100,3.44,overcast clouds,0.0,0.0,CN,2020-05-06 03:18:44
10,Tunggol,5.84,121.15,86.59,67,3,5.73,clear sky,0.0,0.0,PH,2020-05-06 03:18:45
11,Sungairaya,0.7,108.9,88.9,65,58,7.34,broken clouds,0.0,0.0,ID,2020-05-06 03:18:45
12,Sao Felix Do Xingu,-6.64,-51.99,72.86,95,72,1.43,broken clouds,0.0,0.0,BR,2020-05-06 03:18:45
13,Norman Wells,65.28,-126.83,51.8,43,20,6.93,few clouds,0.0,0.0,CA,2020-05-06 03:15:39
14,Kenai,60.55,-151.26,60.8,33,40,17.22,scattered clouds,0.0,0.0,US,2020-05-06 03:18:46
15,Clyde River,70.47,-68.59,6.8,84,1,6.93,clear sky,0.0,0.0,CA,2020-05-06 03:18:46
16,Kutum,14.2,24.67,71.42,22,17,14.27,few clouds,0.0,0.0,SD,2020-05-06 03:18:46
17,Satuk,41.23,32.38,44.56,88,0,3.18,clear sky,0.0,0.0,TR,2020-05-06 03:18:46
18,Atuona,-9.8,-139.03,81.07,76,13,17.11,light rain,0.18,0.0,PF,2020-05-06 03:18:47
19,Chuy,-33.7,-53.46,56.71,72,45,17.31,scattered clouds,0.0,0.0,UY,2020-05-06 03:18:47
20,Dikson,73.51,80.55,10.13,92,88,12.8,overcast clouds,0.0,0.0,RU,2020-05-06 03:15:03
21,Gat,31.61,34.76,63.0,79,11,13.27,light rain,0.2,0.0,IL,2020-05-06 03:17:01
22,Leningradskiy,69.38,178.42,24.22,94,5,9.46,clear sky,0.0,0.0,RU,2020-05-06 03:17:09
23,Albany,42.6,-73.97,46.0,62,82,4.59,broken clouds,0.0,0.0,US,2020-05-06 03:16:12
24,Meulaboh,4.14,96.13,84.56,70,100,2.46,overcast clouds,0.0,0.0,ID,2020-05-06 03:18:49
25,Ravar,31.27,56.81,77.79,22,55,2.75,broken clouds,0.0,0.0,IR,2020-05-06 03:18:49
26,Palana,59.12,159.97,37.31,77,100,23.96,overcast clouds,0.0,0.0,RU,2020-05-06 03:18:49
27,Hilo,19.73,-155.09,82.4,54,40,9.17,scattered clouds,0.0,0.0,US,2020-05-06 03:18:50
28,Terrak,65.09,12.37,37.4,86,100,5.82,light intensity shower rain,0.0,0.0,NO,2020-05-06 03:18:50
29,Vaini,-21.2,-175.2,78.8,88,75,6.93,broken clouds,0.0,0.0,TO,2020-05-06 03:18:50
30,Boa Vista,2.82,-60.67,78.8,88,75,2.24,broken clouds,0.0,0.0,BR,2020-05-06 03:14:23
31,Ushuaia,-54.8,-68.3,39.2,55,98,6.93,overcast clouds,0.0,0.0,AR,2020-05-06 03:15:00
32,Cape Town,-33.93,18.42,64.99,93,0,9.17,clear sky,0.0,0.0,ZA,2020-05-06 03:18:51
33,Dwarka,22.24,68.97,84.69,73,0,10.63,clear sky,0.0,0.0,IN,2020-05-06 03:18:51
34,Jaciara,-15.97,-54.97,71.1,80,100,1.92,overcast clouds,0.0,0.0,BR,2020-05-06 03:18:51
35,Kununurra,-15.77,128.73,86.0,16,0,11.41,clear sky,0.0,0.0,AU,2020-05-06 03:18:52
36,Rikitea,-23.12,-134.97,73.22,71,92,16.06,overcast clouds,0.0,0.0,PF,2020-05-06 03:18:52
37,Kiruna,67.86,20.23,33.8,74,99,13.87,overcast clouds,0.0,0.0,SE,2020-05-06 03:18:52
38,Kloulklubed,7.04,134.26,80.6,88,75,11.41,light intensity shower rain,0.0,0.0,PW,2020-05-06 03:18:52
39,Ossora,59.24,163.07,32.72,97,100,26.02,snow,0.0,2.46,RU,2020-05-06 03:18:53
40,Georgetown,5.41,100.34,86.0,83,20,4.7,few clouds,0.0,0.0,MY,2020-05-06 03:16:44
41,Cockburn Town,21.46,-71.14,79.84,81,7,15.48,clear sky,0.0,0.0,TC,2020-05-06 03:18:53
42,Avarua,-21.21,-159.78,80.6,78,54,3.36,broken clouds,0.0,0.0,CK,2020-05-06 03:14:24
43,Sabha,27.04,14.43,68.79,27,0,11.56,clear sky,0.0,0.0,LY,2020-05-06 03:18:53
44,Saint-Philippe,-21.36,55.77,73.4,78,28,4.7,scattered clouds,0.0,0.0,RE,2020-05-06 03:11:57
45,New Norfolk,-42.78,147.06,60.01,71,98,3.0,overcast clouds,0.0,0.0,AU,2020-05-06 03:11:57
46,Bethel,41.37,-73.41,44.6,48,1,5.06,clear sky,0.0,0.0,US,2020-05-06 03:11:58
47,Lasa,46.62,10.7,44.6,100,75,8.05,light rain,0.0,0.0,IT,2020-05-06 03:11:58
48,Bengkulu,-3.8,102.27,85.77,65,30,7.87,scattered clouds,0.0,0.0,ID,2020-05-06 03:11:58
49,Lompoc,34.64,-120.46,62.01,72,1,19.46,haze,0.0,0.0,US,2020-05-06 03:11:58
50,Thompson,55.74,-97.86,32.0,96,5,8.05,clear sky,0.0,0.0,CA,2020-05-06 03:11:59
51,Narsaq,60.92,-46.05,44.6,65,100,4.7,overcast clouds,0.0,0.0,GL,2020-05-06 03:11:59
52,Kodiak,57.79,-152.41,43.12,83,100,19.1,light rain,0.37,0.0,US,2020-05-06 03:07:09
53,Butaritari,3.07,172.79,83.01,81,22,12.17,few clouds,0.0,0.0,KI,2020-05-06 03:11:59
54,Puerto Ayora,-0.74,-90.35,77.0,93,20,3.0,few clouds,0.0,0.0,EC,2020-05-06 03:12:00
55,Dong Hoi,17.48,106.6,93.25,53,11,3.31,few clouds,0.0,0.0,VN,2020-05-06 03:12:00
56,Opuwo,-18.06,13.84,63.34,50,1,6.02,clear sky,0.0,0.0,NA,2020-05-06 03:12:00
57,Hermanus,-34.42,19.23,59.0,90,13,1.01,few clouds,0.0,0.0,ZA,2020-05-06 03:12:00
58,Hobart,-42.88,147.33,60.01,54,75,10.29,broken clouds,0.0,0.0,AU,2020-05-06 03:10:51
59,Brainerd,46.36,-94.2,55.4,47,90,10.29,overcast clouds,0.0,0.0,US,2020-05-06 03:07:41
60,Muros,42.78,-9.06,60.01,91,14,4.0,light rain,0.2,0.0,ES,2020-05-06 03:12:01
61,Imbituba,-28.24,-48.67,66.2,93,98,2.24,light rain,0.48,0.0,BR,2020-05-06 03:11:58
62,Tuatapere,-46.13,167.68,55.67,69,96,9.22,overcast clouds,0.0,0.0,NZ,2020-05-06 03:12:02
63,Sitka,57.05,-135.33,53.6,50,40,10.29,scattered clouds,0.0,0.0,US,2020-05-06 03:12:02
64,Bluff,-46.6,168.33,53.98,76,100,25.32,overcast clouds,0.0,0.0,NZ,2020-05-06 03:12:02
65,Kavaratti,10.57,72.64,85.78,75,92,8.61,overcast clouds,0.0,0.0,IN,2020-05-06 03:12:02
66,Tura,25.52,90.22,81.9,67,57,3.96,light rain,0.81,0.0,IN,2020-05-06 03:12:03
67,Tasiilaq,65.61,-37.64,32.0,88,100,6.29,overcast clouds,0.0,0.0,GL,2020-05-06 03:12:03
68,Vila Velha,-20.33,-40.29,73.4,83,78,13.87,broken clouds,0.0,0.0,BR,2020-05-06 03:12:03
69,Sept-Iles,50.2,-66.38,48.2,39,75,6.93,broken clouds,0.0,0.0,CA,2020-05-06 03:12:03
70,Hasaki,35.73,140.83,63.0,93,75,6.93,light intensity shower rain,0.0,0.0,JP,2020-05-06 03:12:04
71,Khatanga,71.97,102.5,9.79,90,0,15.01,clear sky,0.0,0.0,RU,2020-05-06 03:12:04
72,Ribeira Grande,38.52,-28.7,62.6,85,95,14.7,overcast clouds,0.0,0.0,PT,2020-05-06 03:12:04
73,Klaksvik,62.23,-6.59,44.6,87,92,19.46,overcast clouds,0.0,0.0,FO,2020-05-06 03:12:05
74,Hambantota,6.12,81.12,85.24,74,57,13.38,broken clouds,0.0,0.0,LK,2020-05-06 03:12:05
75,Nago,26.59,127.98,80.6,88,75,20.8,broken clouds,0.0,0.0,JP,2020-05-06 03:12:06
76,Zhangye,38.93,100.45,54.37,66,100,11.65,light rain,0.13,0.0,CN,2020-05-06 03:12:06
77,Keningau,5.34,116.16,87.8,74,20,3.36,few clouds,0.0,0.0,MY,2020-05-06 03:12:06
78,Hithadhoo,-0.6,73.08,84.69,72,91,7.38,overcast clouds,0.0,0.0,MV,2020-05-06 03:12:07
79,Tuktoyaktuk,69.45,-133.04,32.0,99,90,2.89,overcast clouds,0.0,0.0,CA,2020-05-06 03:12:07
80,Mahebourg,-20.41,57.7,73.4,94,75,3.36,shower rain,0.0,0.0,MU,2020-05-06 03:12:07
81,Berdigestyakh,62.1,126.7,50.59,47,65,5.91,broken clouds,0.0,0.0,RU,2020-05-06 03:12:07
82,Fairbanks,64.84,-147.72,59.0,28,75,3.94,broken clouds,0.0,0.0,US,2020-05-06 03:10:10
83,Lucea,18.45,-78.17,82.4,74,20,2.24,few clouds,0.0,0.0,JM,2020-05-06 03:12:08
84,Peniche,39.36,-9.38,61.0,90,29,6.11,scattered clouds,0.0,0.0,PT,2020-05-06 03:12:08
85,Bara,10.37,10.73,83.59,48,3,4.34,clear sky,0.0,0.0,NG,2020-05-06 03:12:08
86,Uglegorsk,49.08,142.03,42.6,70,5,6.2,clear sky,0.0,0.0,RU,2020-05-06 03:12:09
87,Vallenar,-28.57,-70.76,58.08,71,7,0.29,clear sky,0.0,0.0,CL,2020-05-06 03:12:09
88,Coruripe,-10.13,-36.18,77.94,86,67,7.87,light rain,0.12,0.0,BR,2020-05-06 03:08:42
89,Kaiyuan,23.7,103.3,84.78,36,46,15.46,scattered clouds,0.0,0.0,CN,2020-05-06 03:12:10
90,Yellowknife,62.46,-114.35,42.8,45,40,17.22,scattered clouds,0.0,0.0,CA,2020-05-06 03:12:10
91,Flin Flon,54.77,-101.86,35.98,83,0,6.02,clear sky,0.0,0.0,CA,2020-05-06 03:12:10
92,Faanui,-16.48,-151.75,82.54,74,4,9.64,clear sky,0.0,0.0,PF,2020-05-06 03:12:11
93,Makakilo City,21.35,-158.09,84.2,51,20,8.05,few clouds,0.0,0.0,US,2020-05-06 03:12:11
94,Chifeng,42.27,118.96,71.4,23,2,15.14,clear sky,0.0,0.0,CN,2020-05-06 03:12:11
95,Mmabatho,-25.85,25.63,48.2,66,0,3.36,clear sky,0.0,0.0,ZA,2020-05-06 03:12:12
96,Bredasdorp,-34.53,20.04,53.6,93,1,2.55,clear sky,0.0,0.0,ZA,2020-05-06 03:12:12
97,Bambous Virieux,-20.34,57.76,73.99,94,75,3.36,shower rain,0.0,0.0,MU,2020-05-06 03:12:12
98,Tabou,4.42,-7.35,79.81,84,31,2.75,scattered clouds,0.0,0.0,CI,2020-05-06 03:12:12
99,Luderitz,-26.65,15.16,72.63,28,0,7.43,clear sky,0.0,0.0,NA,2020-05-06 03:12:13
100,Cooma,-36.23,149.13,60.8,36,100,5.82,overcast clouds,0.0,0.0,AU,2020-05-06 03:12:13
101,Velingara,13.15,-14.12,74.97,64,0,8.08,clear sky,0.0,0.0,SN,2020-05-06 03:12:14
102,Chokurdakh,70.63,147.92,22.14,96,100,8.55,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:14
103,Rio Grande,-32.03,-52.1,55.0,75,3,5.01,clear sky,0.0,0.0,BR,2020-05-06 03:12:14
104,Talnakh,69.49,88.4,24.8,73,100,11.18,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:14
105,Nouadhibou,20.93,-17.03,66.2,77,40,17.22,scattered clouds,0.0,0.0,MR,2020-05-06 03:12:15
106,Weyburn,49.67,-103.85,50.0,70,96,3.0,overcast clouds,0.0,0.0,CA,2020-05-06 03:12:15
107,Jieshi,22.81,115.83,82.78,74,40,13.85,scattered clouds,0.0,0.0,CN,2020-05-06 03:12:15
108,San Quintin,30.48,-115.95,67.41,73,0,11.99,clear sky,0.0,0.0,MX,2020-05-06 03:12:15
109,Saint-Georges,12.06,-61.75,82.4,78,20,11.41,few clouds,0.0,0.0,GD,2020-05-06 03:12:16
110,Ixtapa,20.7,-105.2,78.8,83,75,5.82,broken clouds,0.0,0.0,MX,2020-05-06 03:12:16
111,Arraial Do Cabo,-22.97,-42.03,73.94,84,99,17.43,overcast clouds,0.0,0.0,BR,2020-05-06 03:12:16
112,Biu,10.61,12.19,77.81,20,0,2.04,clear sky,0.0,0.0,NG,2020-05-06 03:12:17
113,Rupert,42.62,-113.68,69.8,18,1,13.87,clear sky,0.0,0.0,US,2020-05-06 03:09:04
114,Manubul,5.47,120.8,85.14,71,0,6.26,clear sky,0.0,0.0,PH,2020-05-06 03:12:17
115,Aurillac,44.92,2.45,53.01,85,71,1.99,broken clouds,0.0,0.0,FR,2020-05-06 03:12:18
116,Qaanaaq,77.48,-69.36,11.14,83,97,4.85,overcast clouds,0.0,0.0,GL,2020-05-06 03:12:18
117,Castro,-24.79,-50.01,58.5,76,98,4.59,overcast clouds,0.0,0.0,BR,2020-05-06 03:12:18
118,Pitkyaranta,61.57,31.48,41.79,79,18,5.73,few clouds,0.0,0.0,RU,2020-05-06 03:12:19
119,Saint-Francois,46.42,3.91,48.2,87,90,2.24,mist,0.0,0.0,FR,2020-05-06 03:12:19
120,Marawi,8.0,124.29,84.99,83,82,5.01,broken clouds,0.0,0.0,PH,2020-05-06 03:12:20
