City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Isangel,-19.55,169.27,71.67,87,100,14.45,VU,2020-05-06 00:21:36
70,Praia,14.92,-23.51,73.4,73,1,12.75,CV,2020-05-06 00:25:20
71,Kizema,61.11,44.83,49.82,98,99,3.13,RU,2020-05-06 00:25:21
72,Yichang,30.71,111.28,68.36,76,81,0.94,CN,2020-05-06 00:25:21
73,Tuatapere,-46.13,167.68,52.81,76,91,5.12,NZ,2020-05-06 00:25:21
74,Mananara,-16.17,49.77,72.77,89,16,4.88,MG,2020-05-06 00:25:21
75,Lisakovsk,52.54,62.49,51.46,46,0,7.96,KZ,2020-05-06 00:25:21
76,Zeya,53.75,127.27,54.14,37,0,1.92,RU,2020-05-06 00:25:21
77,Georgetown,5.41,100.34,80.6,100,40,4.7,MY,2020-05-06 00:25:10
78,Balkanabat,39.51,54.37,76.46,29,79,22.12,TM,2020-05-06 00:25:21
79,Coquimbo,-29.95,-71.34,55.4,93,0,3.36,CL,2020-05-06 00:21:06
80,Norman Wells,65.28,-126.83,51.8,81,20,8.05,CA,2020-05-06 00:20:35
81,Asyut,27.18,31.18,62.53,49,0,8.34,EG,2020-05-06 00:25:22
82,Katsuura,35.13,140.3,64.99,88,75,6.93,JP,2020-05-06 00:25:22
83,Garowe,8.41,48.48,78.01,74,44,9.73,SO,2020-05-06 00:25:23
84,Dikson,73.51,80.55,8.01,92,99,11.72,RU,2020-05-06 00:25:23
85,Lebu,-37.62,-73.65,55.04,75,0,18.88,CL,2020-05-06 00:25:23
86,Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,86,75,6.71,RU,2020-05-06 00:25:23
87,Kresttsy,58.25,32.52,48.94,94,100,7.16,RU,2020-05-06 00:25:23
88,Saint-Philippe,-21.36,55.77,71.6,78,37,3.36,RE,2020-05-06 00:21:07
89,East London,-33.02,27.91,64.81,62,80,10.74,ZA,2020-05-06 00:25:23
90,Kavieng,-2.57,150.8,83.43,78,100,5.39,PG,2020-05-06 00:25:24
91,Kapaa,22.08,-159.32,78.8,74,90,14.99,US,2020-05-06 00:20:56
